Il,Ilce,Muhtarlik,Muhtar,Boylam,Enlem
Adiyaman,Tut,AKÇATEPE,Fevzi CEBE,38.0114,37.8115
Adiyaman,Tut,Ayniye,Osman GÖNÜL,,
Adiyaman,Tut,BOYUNDERE,Mahmut SEÇKİN,37.9388,37.7695
Adiyaman,Tut,Bulanık,Ali İNCE,,
Adiyaman,Tut,Çamlıca,Elif ŞEN,,
Adiyaman,Tut,ÇİFTLİKKÖY,Orhan ÖZEN,37.8782,37.7664
Adiyaman,Tut,Cumhuriyet,Fikir DÖNMEZ,,
Adiyaman,Tut,ELÇİLER,Ali ELÇİ,38.0518,37.7851
Adiyaman,Tut,Fethiye,Mahmut GÜÇTEKİN,,
Adiyaman,Tut,HAVUTLU,Cuma YÜCEL,37.9122,37.7676
Adiyaman,Tut,KAŞLICA,Memet GÜRBÜZ,37.9513,37.8131
Adiyaman,Tut,KÖSELİ,Ali AYDIN,38.0419,37.7796
Adiyaman,Tut,MERYEMUŞAĞI,Ekrem ATALAY,37.858,37.8115
Adiyaman,Tut,ÖĞÜTLÜ,Arif GÜRBÜZ,38.0086,37.7749
Adiyaman,Tut,Reşadiye,Bayram ERTUĞRUL,,
Adiyaman,Tut,Salah,Habib DOĞAN,,
Adiyaman,Tut,TEPECİK,Vakas SARI,38.0331,37.8008
Adiyaman,Tut,ÜNLÜCE,Mahmut ÜNAL,,
Adiyaman,Tut,YALANKOZ,Hacı BEKTAŞ,38.0203,37.813
Adiyaman,Tut,YAYLIMLI,Safiye YÜKSEL,37.971,37.7723
Adiyaman,Tut,YEŞİLYURT,Ahmet DOĞAN,,
Diyarbakir,Yenişehir,Al,Mehmet Selim TUNCAY,,
Diyarbakir,Yenişehir,Alangör,Ali YILMAZ,,
Diyarbakir,Yenişehir,Alpu,Ali YILMAZ,40.134277,38.048177
Diyarbakir,Yenişehir,Aziziye,Fahri PINAR,40.2019,37.9487
Diyarbakir,Yenişehir,Bahçelievler,Mehmet KARABOĞA,40.185975,38.02023
Diyarbakir,Yenişehir,Başil,İbrahim YAVUZ,40.187199,38.06326
Diyarbakir,Yenişehir,Bozek,Yusuf DALKILIÇ,,
Diyarbakir,Yenişehir,Çakmak,Askeri DEMİR,,
Diyarbakir,Yenişehir,Çelikevler,Mehmet KAYA,,
Diyarbakir,Yenişehir,Çimenler,Hasan ÇİMEN,,
Diyarbakir,Yenişehir,Cumhuriyet,Kasım SEYİTOĞLU,40.2138,37.9373
Diyarbakir,Yenişehir,Dicle,Vahit KELEKÇİER,40.2426,37.9207
Diyarbakir,Yenişehir,Dikentepe,Ahmet KARAHAN,,
Diyarbakir,Yenişehir,Dökmetaş,Mustafa AKTAŞ,40.140078,38.018258
Diyarbakir,Yenişehir,Dokuzçeltik,İsmail KOYUN,40.181038,37.975385
Diyarbakir,Yenişehir,Dönümlü,Abdullah KAYMAK,40.221313,37.954866
Diyarbakir,Yenişehir,Ekinciler,Burhan İPEK,,
Diyarbakir,Yenişehir,Elidolu,Abdullah UYKUR,40.219901,37.968346
Diyarbakir,Yenişehir,Eser,Galip ESER,40.248494,38.047298
Diyarbakir,Yenişehir,Fabrika,Mehmet Ercan ERİNGİN,40.179,37.9659
Diyarbakir,Yenişehir,Feritköşkü,Mehmet Ali ŞENTÜRK,40.2378,37.9263
Diyarbakir,Yenişehir,Geyiktepe,Eşref ULU,,
Diyarbakir,Yenişehir,Gürdoğan,Remezan AKÇİÇEK,40.2216,37.9458
Diyarbakir,Yenişehir,Güvendere,Hamza KAYA,40.164716,38.019646
Diyarbakir,Yenişehir,Güvercinlik,Mahmut ADIGÜZEL,40.228287,38.005059
Diyarbakir,Yenişehir,Güzelköy,Halit ŞEKER,40.226193,38.02428
Diyarbakir,Yenişehir,Hantepe,Mehmet Emin BOZBOĞA,,
Diyarbakir,Yenişehir,İlbaş,Mehmet Sıddık KAYMAK,40.224045,38.08954
Diyarbakir,Yenişehir,Kesikağaç,Mehmet Şah BAL,40.222075,37.993839
Diyarbakir,Yenişehir,Kooperatifler,Abdulkadır AYDINLAR,40.217,37.9259
Diyarbakir,Yenişehir,Sanayi,Ahmet CEYLAN,40.1959,37.947
Diyarbakir,Yenişehir,Sancar,Mehmet Emin ATLI,40.153734,38.051696
Diyarbakir,Yenişehir,Sarıyatak,Mehmet Ali ATAŞ,,
Diyarbakir,Yenişehir,Şehitlik,Fahrettin GÜLER,40.2248,37.8982
Diyarbakir,Yenişehir,Sivritepe,Mustafa AKKOÇ,,
Diyarbakir,Yenişehir,Tanışık,Naif BUYRUK,40.238083,38.074569
Diyarbakir,Yenişehir,Üçkuyu,Şükrü DEMİREL,40.140914,37.969819
Diyarbakir,Yenişehir,Yaytaş,Zülfükar KARATAŞ,,
Diyarbakir,Yenişehir,Yenişehir,Mehmet DEMİR,40.2304,37.9186
Diyarbakir,Yenişehir,Yolaltı,Mehmet Nuri BÖRTA,40.19938,37.95447
Diyarbakir,Yenişehir,Yukarınasırlar,Fikret ÖZBAYHAN,40.112225,38.045716
Diyarbakir,Yenişehir,Yüksek,Ömer AY,40.20102,38.027725
Gaziantep,Yavuzeli,Akbayır,Ali ÇELİK,37.5659,37.382
Gaziantep,Yavuzeli,Aşağı höcüklü,Yaşar ZİREK,,
Gaziantep,Yavuzeli,Aşağıkayabaşı,Hüseyin GÖÇMEN,37.7446,37.3019
Gaziantep,Yavuzeli,Aşağıkekliktepe,Ömer ÇİFTÇİ,37.612,37.3147
Gaziantep,Yavuzeli,Bağtepe,Ali SÖĞÜTÇÜ,37.63,37.3331
Gaziantep,Yavuzeli,Bakırca,Muharrem ÇİFTÇİ,37.4982,37.3197
Gaziantep,Yavuzeli,Ballık,Mehmet BAĞCI,37.5058,37.328
Gaziantep,Yavuzeli,Beğendik,Kadir YILDIRIM,37.8312,37.2855
Gaziantep,Yavuzeli,Bülbül,Mustafa YILDIRIM,37.6946,37.279
Gaziantep,Yavuzeli,Büyükkarakuyu,Mehmet ÖZKORKMAZ,37.5283,37.239
Gaziantep,Yavuzeli,Çiltoprak,Haci YILMAZ,37.7449,37.2873
Gaziantep,Yavuzeli,Çimenli,Ömer YÜKSEK,37.5797,37.2876
Gaziantep,Yavuzeli,Cingife,Fatih ÖZEN,,
Gaziantep,Yavuzeli,Cumhuriyet,Hanifi GÜZEL,,
Gaziantep,Yavuzeli,Değirmitaş,Mehmet GÜÇYETMEZ,37.492,37.3277
Gaziantep,Yavuzeli,Düzce,Şıh Musa ASLAN,37.722,37.2629
Gaziantep,Yavuzeli,Fevzi Çakmak,Arif GÖĞÜŞ,,
Gaziantep,Yavuzeli,Göçmez,Sinan TÜRK,37.7595,37.3398
Gaziantep,Yavuzeli,Gülpınar,İbrahim GÜZELBEY,,
Gaziantep,Yavuzeli,Hacımallı,Battal TÜRKASLAN,37.6376,37.2859
Gaziantep,Yavuzeli,Havuz,Muhittin MANDOLLU,37.7245,37.3528
Gaziantep,Yavuzeli,Hürriyet,Vakkas TÜRKAN,,
Gaziantep,Yavuzeli,Ilıcak,Fevzi DURAK,37.4569,37.3315
Gaziantep,Yavuzeli,Karabey,Muhittin KARAŞAHİN,37.5766,37.2779
Gaziantep,Yavuzeli,Karahan,Hüseyin KARAHAN,37.6778,37.3565
Gaziantep,Yavuzeli,Karahüseyinli,Hüseyin YILMAZ,37.5993,37.3366
Gaziantep,Yavuzeli,Kasaba,Mustafa ARSLAN,37.8337,37.2721
Gaziantep,Yavuzeli,Keşreobası,Mehmet YILMAZ,37.5738,37.355
Gaziantep,Yavuzeli,Küçükkarakuyu,Payo Mehmet PAYO,37.5463,37.3507
Gaziantep,Yavuzeli,Kuzuyatağı,Mehmet Ali GÜRBÜZ,37.7753,37.2826
Gaziantep,Yavuzeli,Örenli,Hamit TAŞAR,37.5163,37.2531
Gaziantep,Yavuzeli,Saraymağara,Mahmut SERTKAYA,37.608,37.2607
Gaziantep,Yavuzeli,Sarıbuğday,Mehmet GEMALMAZ,37.5176,37.3045
Gaziantep,Yavuzeli,Sarılar,Hasan POLAT,37.8339,37.3186
Gaziantep,Yavuzeli,Şenlikçe,Hamit DEMİR,37.699,37.3311
Gaziantep,Yavuzeli,Süleymanobası,Güley POLAT,37.5604,37.2487
Gaziantep,Yavuzeli,Sultan Selim,Halil YILDIZ,,
Gaziantep,Yavuzeli,Tokaçlı,Şiho ALTUNBAŞ,37.666,37.2582
Gaziantep,Yavuzeli,Üçgöl,Seydi Vakkas ÇELİK,37.6884,37.2458
Gaziantep,Yavuzeli,Yarımca,Hüseyin SOLMAZ,37.6666,37.3235
Gaziantep,Yavuzeli,Yeniyurt,Beyhan KARADAĞ,37.4654,37.3792
Gaziantep,Yavuzeli,Yöreli,Halil SAKAR,37.5889,37.3331
Gaziantep,Yavuzeli,Yukarıkekliktepe,Bayram KILIÇ,37.6145,37.3017
Gaziantep,Yavuzeli,Yukarıyeniköy,Hayri ŞİMŞEK,37.6789,37.301
Adana,Yüreğir,19 Mayıs,Kenan OSLUN,35.3646,36.9782
Adana,Yüreğir,Abdioğlu Cumhuriyet ,Adil ÇELEBİ,35.3453,36.984
Adana,Yüreğir,Ağzıbüyük,Ahmet ERSINADIM,35.44943,36.863547
Adana,Yüreğir,Akarcalı,Şükrü DİŞKAYA,,
Adana,Yüreğir,Akdam,Rifat GÖZGEÇ,35.443941,36.801733
Adana,Yüreğir,Akdeniz,Fırtına SIĞIRCI,35.3463,36.9628
Adana,Yüreğir,Akıncılar,Zekeriye SALTAN,35.355,37.0023
Adana,Yüreğir,Akpınar,Feti ÇETİN,35.6047,36.8156
Adana,Yüreğir,Alihocalı,Ahmet ORTATEPE,35.397374,36.933146
Adana,Yüreğir,Anadolu,Şahin KAYAS,35.3539,36.9809
Adana,Yüreğir,Atakent,Ramazan SUSAN,35.3711,36.9887
Adana,Yüreğir,Atatürk,Şehmus ÖZDEMİR,,
Adana,Yüreğir,Aydıncık,Cihangir CİHANGİROĞLU,35.298619,36.863076
Adana,Yüreğir,Bahçelievler,Mehmet ÖZDEN,35.3546,36.9634
Adana,Yüreğir,Başak,Abdulvehap DEMİR,35.364,36.9843
Adana,Yüreğir,BELÖREN,Hüseyin DİLBAZ,35.5571,36.8103
Adana,Yüreğir,Beyköy,Sait KARADAĞ,35.301431,36.732202
Adana,Yüreğir,Büyükkapılı,Mahmut ADSIZ,35.567154,36.872716
Adana,Yüreğir,Çağırkanlı,Şahin MUSLİHAN,,
Adana,Yüreğir,Camili,Hayri ALPASLAN,35.43573,36.929507
Adana,Yüreğir,Çamlıbel,Zeki ALAGÖZ,35.3842,37.0001
Adana,Yüreğir,ÇATALPINAR,Osman ŞAŞMAZ,35.5722,36.8255
Adana,Yüreğir,ÇELEMLİ,Hakkı ÇOLAK,,
Adana,Yüreğir,Çine,Mahmut GÖK,35.26017,36.798148
Adana,Yüreğir,Cırrık,Emin MEMİŞ,35.23278,36.741243
Adana,Yüreğir,Çotlu,Ziyat DOĞAN,35.4823,36.871166
Adana,Yüreğir,Cumhuriyet,Erdoğan ÖZRENÇBERLER,35.3453,36.984
Adana,Yüreğir,Dadaloğlu,Abdulvahap ALYAR,35.365,37.0037
Adana,Yüreğir,Danışment,Cappar SOYUBELLİ,35.446691,36.824391
Adana,Yüreğir,Dedekorkut,Ali POLAT,,
Adana,Yüreğir,Dedepınarı,Kerim KARLIDAĞ,35.479562,36.926293
Adana,Yüreğir,Denizkuyusu,Mehmet SAMIK,35.30135,36.843223
Adana,Yüreğir,Dervişler,Hacı DEMİRAY,35.3633,36.9979
Adana,Yüreğir,Doğankent Bahçelievler,Ferit ANLI,35.3546,36.9634
Adana,Yüreğir,Doğankent Cumhuriyet,Selahattin FIRAT,35.3335,36.801414
Adana,Yüreğir,Doğankent Kışla,Selahaddin YİĞİT,35.3341,37.0209
Adana,Yüreğir,Düzce,Bekir AYDIN,35.479562,36.893312
Adana,Yüreğir,Eğriağaç,Hamza GÜLER,35.44943,36.776262
Adana,Yüreğir,Esenler,Hüseyin KEKÇE,35.495993,36.814613
Adana,Yüreğir,Eski Misis,Ekrem TANİŞER,,
Adana,Yüreğir,Gazipaşa,Yılmaz ALAKAŞ,35.320082,37.00688
Adana,Yüreğir,Geçitli  Cumhuriyet,Kadri DAYANAN,35.3453,36.984
Adana,Yüreğir,Gökçeli,Ömer KAYKAÇ,35.337024,36.755512
Adana,Yüreğir,Gümüşyazı,Sedat SÜREKLİ,35.1695,36.791016
Adana,Yüreğir,Güneşli,Murat KÜÇÜKALTUN,35.3479,36.9756
Adana,Yüreğir,GÜVELOĞLU,Mehmet BORLU,35.6004,36.8441
Adana,Yüreğir,Güzel Cumhuriyet,İzzet ALTANAY,35.3453,36.984
Adana,Yüreğir,Güzelevler,Hasan YEŞİL,35.4,36.9764
Adana,Yüreğir,Hacıali,Yusuf PAMUK,35.288998,36.80845
Adana,Yüreğir,Havraniye,Durmuş ÜNAL,,
Adana,Yüreğir,Havutlu,Yüksel YÜKSELENALEV,35.34248,36.925893
Adana,Yüreğir,Haydaroğlu,Şahap CANOĞULLARI,35.3423,36.9632
Adana,Yüreğir,Herekli,Halit ÜÇKARDEŞLER,35.53705,36.861841
Adana,Yüreğir,Irmakbaşı,Recai ÖZTECİK,35.232706,36.824004
Adana,Yüreğir,Kadıköy,Talat KADIKÖYLÜ,35.260106,36.762836
Adana,Yüreğir,Kamışlı,Hüseyin KAMIŞLI,35.389134,36.75432
Adana,Yüreğir,Karaahmetli,Fedai ŞENYUVA,35.185994,36.804357
Adana,Yüreğir,Karacaoğlan,Bahtiyar SAĞLAMDEMİREL,35.3706,37.0175
Adana,Yüreğir,KAŞLICA,Derviş YENER,35.6258,36.8738
Adana,Yüreğir,Kayarlı,Erdoğan KILIÇ,,
Adana,Yüreğir,Kazım Karabekir,Muzaffer BOLAT,35.3495,37.0093
Adana,Yüreğir,Kiremithane,Cumali BASKIN,35.373,37.0045
Adana,Yüreğir,Kışla,Ali KUBAT,35.3341,37.0209
Adana,Yüreğir,Köklüce,Aziz SARI,35.424739,36.940304
Adana,Yüreğir,Köprügözü,Ali KUYBEK,35.348333,36.747115
Adana,Yüreğir,Köprülü,Cihat TEMEL,35.3368,37.0131
Adana,Yüreğir,Koza,Yılmaz UÇAR,35.3725,36.9733
Adana,Yüreğir,Kütüklü,Kader KOYUNCU,35.521363,36.826944
Adana,Yüreğir,Levent,Karani OMPUT,35.3849,36.9786
Adana,Yüreğir,Mutlu,Ahmet KIZILYER,35.387274,37.003838
Adana,Yüreğir,Özgür,Erol KOCAMAN,35.3576,36.99
Adana,Yüreğir,Özler,Sinan BARCİN,,
Adana,Yüreğir,Paşaköy,Cuma ATAMAN,35.411117,36.812198
Adana,Yüreğir,Pekmezli,Celal GÜNGÖRDÜ,,
Adana,Yüreğir,Ptt Evleri,Ali İNCE,35.3733,37.0189
Adana,Yüreğir,Sağdıçlı,Ramazan POLAT,35.443951,36.844196
Adana,Yüreğir,Şahinağa,Ramazan Cengiz GÜRBÜZ,35.39956,36.80223
Adana,Yüreğir,Sakızlı,Nihat SERİNDAĞ,,
Adana,Yüreğir,Sarıçam,Servet ERKEK,35.3523,36.9938
Adana,Yüreğir,Sazak,Hüseyin TEKDEMİR,,
Adana,Yüreğir,Şehit Erkut Akbay,Selahattin KILIÇ,35.3746,36.9996
Adana,Yüreğir,Selahattin Eyyubi,Ahmet AKTAŞ,35.3709,37.0084
Adana,Yüreğir,Serinevler,Sait ANLAR,35.3623,37.0083
Adana,Yüreğir,Seyhan,Ersen BAHÇECİ,35.3332,36.9715
Adana,Yüreğir,Şeyhmurat,Alpay KÖYMEN,35.430574,36.859143
Adana,Yüreğir,Sinanpaşa,Arif PALALI,35.3452,36.9927
Adana,Yüreğir,Solaklı Cumhuriyet,Şehmus KILINÇ,35.3453,36.984
Adana,Yüreğir,Solaklı Hürriyet,Hüseyin ALAK,35.325149,36.97638
Adana,Yüreğir,Tahsilli,Mustafa AVCI,35.3596,37.0011
Adana,Yüreğir,Taşcı,Emrah ÜNSAL,,
Adana,Yüreğir,Ulubatlı Hasan,Hacı KÜÇÜKÖZEN,35.3826,37.0095
Adana,Yüreğir,Vayvaylı,Yusuf NURSOY,,
Adana,Yüreğir,Yahşiler,Ramazan ALTAN,35.4971,36.7921
Adana,Yüreğir,Yakapınar,Osman Gazi AKKUZU,35.615016,36.972754
Adana,Yüreğir,Yalnızca,Hayri BALIK,35.416547,36.773318
Adana,Yüreğir,Yamaçlı,Neşet MANAP,35.343,36.9778
Adana,Yüreğir,Yavuzlar,Yaşar UZUN,35.3463,37.0054
Adana,Yüreğir,Yenice,Cengiz YALÇINER,35.316179,36.745774
Adana,Yüreğir,Yenidoğan,Mehmet UZUNBİLEK,35.3926,36.9895
Adana,Yüreğir,Yeniköy,Faruk Yaşar UMAR,35.224463,36.784246
Adana,Yüreğir,Yerdelen,Aykut GÖKÇE,35.234118,36.827804
Adana,Yüreğir,Yeşilbağlar,Nurettin Ahmet KIRTAY,35.3622,36.9713
Adana,Yüreğir,Yukarıçiçekli,Mustafa GÜNDOĞDU,35.389008,36.917067
Adana,Yüreğir,Yunusemre,Şükrü TATLİ,35.567154,36.908037
Adana,Yüreğir,Yunusoğlu Cumhuriyet,Ceyhun DOĞAN,35.3453,36.984
Adana,Yüreğir,Yunusoğlu Hürriyet,Kemal SÜNDÜK,35.27939,36.815255
Adana,Yüreğir,Zağarlı,İbrahim DEMİR,35.367166,36.778336
Gaziantep,Oğuzeli,Acer,Mustafa Hanifi ÖZDEMİR,37.6192,36.9191
Gaziantep,Oğuzeli,Akçamezra,Yaşar POLAT,,
Gaziantep,Oğuzeli,Altınyurt,Mehmet ÖZCAN,,
Gaziantep,Oğuzeli,Ambarcık,Nihat KOÇ,37.5376,36.8101
Gaziantep,Oğuzeli,Arslanlı,Hüseyin ERDOĞAN,37.5124,36.756
Gaziantep,Oğuzeli,Aşağı güneyse,Murat BOZGEYİK,37.6547,36.7673
Gaziantep,Oğuzeli,Aşağı yeniyapan,Enver ÖZBUDAK,37.6185,36.7826
Gaziantep,Oğuzeli,Asmacık,Berkel UĞUR,37.6286,36.7626
Gaziantep,Oğuzeli,Aydınkaya,Mehmet DEMİR,37.5256,36.8327
Gaziantep,Oğuzeli,Belören,Reslan AKBULUT,37.5757,36.8659
Gaziantep,Oğuzeli,Beşdeli,Erdal GEÇER,,
Gaziantep,Oğuzeli,Bulduk,Mehmet YILMAZ,,
Gaziantep,Oğuzeli,Büyükkaracaviran,Mehmet UĞUR,37.5425,36.7638
Gaziantep,Oğuzeli,Çatalçam,Nihat BOZGEYİK,37.7022,36.7843
Gaziantep,Oğuzeli,Çatalsu,Mehmet ULAŞLI,37.4212,36.8656
Gaziantep,Oğuzeli,Çavuşbaşı,Ali ÖZDEMİR,37.4949,36.8303
Gaziantep,Oğuzeli,Çaybaşı,Mesut ÖZBAY,,
Gaziantep,Oğuzeli,Çaybeyi,Mehmet Yavuz ÇELİK,37.5787,36.794
Gaziantep,Oğuzeli,Cumhuriyet,Fazlı TAŞKESEN,,
Gaziantep,Oğuzeli,Demirkonak,Muharrem YILMAZ,37.5974,36.7483
Gaziantep,Oğuzeli,Dero Küçükkaracaviran,İsmail AKYILMAZ,,
Gaziantep,Oğuzeli,Devehüyüğü,Enver BOZGEYİK,37.7346,36.7568
Gaziantep,Oğuzeli,Dibecik,Mahmut İLÇİ,37.6457,36.8163
Gaziantep,Oğuzeli,Dikmetaş,Çerkez TAMER,37.6751,36.8371
Gaziantep,Oğuzeli,Direkli,İsmail MERT,,
Gaziantep,Oğuzeli,Doğanpınar,Nüveren HAMURLU,,
Gaziantep,Oğuzeli,Dokuzyol,Ahmet YILMAZ,37.6533,36.8946
Gaziantep,Oğuzeli,Duruköy,Kartal BOZDOĞAN,37.5062,36.8402
Gaziantep,Oğuzeli,Dutluca,Mustafa ÇELİK,37.6107,36.8928
Gaziantep,Oğuzeli,Ekinveren,Yusuf ÖZTÜRK,37.6657,36.8785
Gaziantep,Oğuzeli,Ermiş,Yalçın KURT,37.6081,36.7358
Gaziantep,Oğuzeli,Fatih,Hüseyin AYDEĞER,,
Gaziantep,Oğuzeli,Gebe,Ahmet TAŞDELEN,37.4749,36.8047
Gaziantep,Oğuzeli,Gedik,Yusuf KOÇAK,,
Gaziantep,Oğuzeli,Güllük,Ali ÖZÇİÇEK,,
Gaziantep,Oğuzeli,Gündoğan,Mehmet ÇAKMAKCI,37.5457,36.8798
Gaziantep,Oğuzeli,Gürsu,Mehmet Akif ÇELİKKANAT,,
Gaziantep,Oğuzeli,Güveçli,Şefik ÖZTÜRKMEN,37.6798,36.8528
Gaziantep,Oğuzeli,Güzelce,Deniz TAMER,,
Gaziantep,Oğuzeli,Hacar,Yunus TAŞDEMİR,,
Gaziantep,Oğuzeli,Hatunlu,İbrahim SEÇKİN,37.6449,36.7821
Gaziantep,Oğuzeli,Hötoğlu,Şefik AYDOĞAN,37.5325,36.7766
Gaziantep,Oğuzeli,Hürriyet,Coşkun AKDAĞ,,
Gaziantep,Oğuzeli,İkizkuyu,Ahmet BOZDOĞAN,37.4995,36.8761
Gaziantep,Oğuzeli,İnceyol,Abdullah KURT,37.4652,36.8055
Gaziantep,Oğuzeli,İnkılap,Yılmaz POLAT,,
Gaziantep,Oğuzeli,İnönü,Ömer YALIM,,
Gaziantep,Oğuzeli,Kabacaağaç,Abdülkadir Bahir ÖZTÜRKMEN,37.7208,36.7973
Gaziantep,Oğuzeli,Karaburun,Abdulkadir BİRELLİ,37.5889,36.8255
Gaziantep,Oğuzeli,Karadibek,Mehmet YILMAZ,37.5816,36.8356
Gaziantep,Oğuzeli,Karaman,Mehmet ÖZTÜRK,37.6518,36.8506
Gaziantep,Oğuzeli,Karataş,Mustafa ÖZBULUT,37.5753,36.8845
Gaziantep,Oğuzeli,Kaşyolu,Halil KILINÇLAR,37.5839,36.8723
Gaziantep,Oğuzeli,Kavunluk,Ahmet YILMAZ,37.5743,36.9216
Gaziantep,Oğuzeli,Kayacık,Ramazan UZUN,37.5602,36.8223
Gaziantep,Oğuzeli,Kayalıpınar,Emrullah TABUR,37.4645,36.8263
Gaziantep,Oğuzeli,Keçikuyusu,Cengiz ÖZTÜRK,37.6187,36.9921
Gaziantep,Oğuzeli,Keçili,Şıh TABUR,37.7437,36.7848
Gaziantep,Oğuzeli,Kersentaş,Zeki BODUR,,
Gaziantep,Oğuzeli,Kılavuz,Yahya BAKAN,37.6232,36.8089
Gaziantep,Oğuzeli,Koçaklar,İprahim KOÇAK,37.5269,36.8817
Gaziantep,Oğuzeli,Körkün,Yakup KARACAN,,
Gaziantep,Oğuzeli,Kovanlı,Kazım KILIÇ,37.6993,36.8121
Gaziantep,Oğuzeli,Kurtuluş,Ali KARATAŞ,,
Gaziantep,Oğuzeli,Kuruçay,Sabahattin OĞUZ,37.5813,36.7439
Gaziantep,Oğuzeli,Mimar Sinan,Cafer ÇEKİCİ,,
Gaziantep,Oğuzeli,Oğuzlar,Mehmet AYTOP,,
Gaziantep,Oğuzeli,Şahinbey,Ahmet YİĞİT,,
Gaziantep,Oğuzeli,Sazgın,Ahmet POLAT,,
Gaziantep,Oğuzeli,Sergili,İsmail PALTA,37.6442,36.9068
Gaziantep,Oğuzeli,Sevindi,Mehmet POLAT,37.5193,36.7962
Gaziantep,Oğuzeli,Şıh Küçükkaracaviran,Mehmet BOZASLAN,37.5017,36.8907
Gaziantep,Oğuzeli,Subaşı,Mehmet Zarif ÖZTOSUN,,
Gaziantep,Oğuzeli,Sütlüce,Metin GÜRLER,37.5544,36.8423
Gaziantep,Oğuzeli,Taşçanak,Önder ÖZTÜRKMEN,37.6864,36.8389
Gaziantep,Oğuzeli,Taşlı,Musa KARAKAN,37.7145,36.8428
Gaziantep,Oğuzeli,Taşyazı,Fevzi YILDIRIM,,
Gaziantep,Oğuzeli,Tınazdere,Abbas SÖNMEZOĞLU,37.6086,36.9317
Gaziantep,Oğuzeli,Tüzel,Mustafa YAŞAR,37.4984,36.8115
Gaziantep,Oğuzeli,Üçdamlar,Yaşar BOZKURT,37.5757,36.7591
Gaziantep,Oğuzeli,Üçkubbe,Yasin ÇOLAK,37.5709,36.7212
Gaziantep,Oğuzeli,Uğurova,Cuma ÖZDEMİR,37.6355,36.8847
Gaziantep,Oğuzeli,Ulaşlı,Muhittin UÇAKER,37.6555,36.7859
Gaziantep,Oğuzeli,Yakacık,Şefik KURTLAR,37.5341,36.903
Gaziantep,Oğuzeli,Yalnızbağ,Mehmet Hanifi NAFAK,,
Gaziantep,Oğuzeli,Yazılı,İzzet ŞAHAN,37.4601,36.8474
Gaziantep,Oğuzeli,Yeni Cumhuriyet,Hanifi OĞUR,37.5508,36.8025
Gaziantep,Oğuzeli,Yeniköy,Reşit DOĞAN,37.5467,36.8644
Gaziantep,Oğuzeli,Yeşildere,Yaşar TÜRK,,
Gaziantep,Oğuzeli,Yeşiltepe,Vedat DAŞDEMİR,37.6006,36.7948
Gaziantep,Oğuzeli,Yukarıgüneyse,Şıho ÇİÇEK,37.5351,36.8375
Gaziantep,Nurdaği,Alpaslan Türkeş,Bekir ŞİMŞEK,,
Gaziantep,Nurdaği,Altınova,Kadir ÖZKAN,36.7798,37.083
Gaziantep,Nurdaği,Aslanlı,Ali GÖĞEBAKAN,,
Gaziantep,Nurdaği,Ataköy,Ali KILINÇ,36.901,37.1452
Gaziantep,Nurdaği,Atatürk,Veli KARTAL,,
Gaziantep,Nurdaği,Atmalı,Mehmet KARAKUŞ,36.8691,37.1313
Gaziantep,Nurdaği,Bademli,Halil AKSU,36.7423,37.2186
Gaziantep,Nurdaği,Bahçelievler,Yunus GÖKKAYA,,
Gaziantep,Nurdaği,Balıkalan,Yusuf BUĞDAY,36.8819,37.3034
Gaziantep,Nurdaği,Başpınar,Ramazan BAŞPINAR,36.7315,37.1964
Gaziantep,Nurdaği,Belpınar,Abdullah TAŞDEMİR,36.7642,37.2203
Gaziantep,Nurdaği,Çakmak,Menduh ÖZER,36.8476,37.1941
Gaziantep,Nurdaği,Demirler,Mehmet EKER,,
Gaziantep,Nurdaği,Durmuşlar,İbrahim CAN,36.836,37.1053
Gaziantep,Nurdaği,Emirler,Ali GELGEÇ,36.9505,37.2893
Gaziantep,Nurdaği,Esenyurt,Durdu GÖKKAYA,,
Gaziantep,Nurdaği,Fatih,İbrahim ÖREN,,
Gaziantep,Nurdaği,Gedikli,Mehmet ÇİRKİN,36.8292,37.2194
Gaziantep,Nurdaği,Gökçedere,Ali ÖZPUNAR,36.7046,37.1631
Gaziantep,Nurdaği,Gözlühüyük,Ali TOPRAK,36.7804,37.1401
Gaziantep,Nurdaği,Hamidiye,Süleyman ARSLAN,36.8747,37.1082
Gaziantep,Nurdaği,Hisar,Yusuf ÖZKAYA,,
Gaziantep,Nurdaği,İçerisu,Cemal KALKAN,36.8409,37.1648
Gaziantep,Nurdaği,İkizkuyu,Muhammet Sadık DİLATMAZ,36.9719,37.1358
Gaziantep,Nurdaği,İncegedik,Murat KISACIK,36.7621,37.0618
Gaziantep,Nurdaği,İncirli,Ömer DEV,36.954,37.2609
Gaziantep,Nurdaği,Karaburçlu,Mahmut DAĞCI,36.6951,37.1575
Gaziantep,Nurdaği,Kartal,İlyas BOZ,36.9806,37.1065
Gaziantep,Nurdaği,Kırışkal,Hasan YORULMAZ,36.8532,37.2456
Gaziantep,Nurdaği,Kırkpınar,Mesut ÖZDEMİR,36.8243,37.0568
Gaziantep,Nurdaği,Kömürler,Bülent YEDİPINAR,36.8109,37.1641
Gaziantep,Nurdaği,Kurudere,Musa AKBULUT,,
Gaziantep,Nurdaği,Kuzoluk,Ökkeş ÜZER,36.8852,37.0793
Gaziantep,Nurdaği,M.akif Ersoy,Ahmet EROĞLU,,
